cell_id,model,model_id_config,task_id,prompt_id,temperature,run_index,seed,status,metric_name,metric_value,latency_ms,done_reason,eval_count,prompt_eval_count,think,num_predict,budget_exhausted,prediction_empty,prediction_char_len,thinking_length,thinking_sha256
4453fccda72062264389e0f2a304f6367c18698d6e3a8885c22e21b7362e9824,qwen3_32b,qwen3:32b,task-humaneval_plus-023,minimal,0.0,3,20260407,budget_exhausted,pass_at_1,0.0,416828.2517330372,length,4096,191,true,4096,True,True,0,14239,13ea8543bef161bd61a70fcb8a03e51ca8352d7cc13bb844c709124009c0f849
549c55602a41b4a00b923214d6cb6bd707709e90167745bb00ca859e558f4edf,qwen3_32b,qwen3:32b,task-humaneval_plus-076,explicit_reasoning,0.0,4,20260408,completed,pass_at_1,1.0,107617.36790195573,stop,1129,165,true,4096,False,False,421,3971,d6c55d27869707357b9cffcffbc2900005d0bd12aa2ca6f739945c14b5775f28
ef0c77d1dc7a1798a7da1aa2e3e843aafc29d89fbe192df1360e40fa640f8171,qwen3_32b,qwen3:32b,task-humaneval_plus-143,minimal,0.0,2,20260406,completed,pass_at_1,1.0,92025.64242196968,stop,973,154,true,4096,False,False,225,3377,9b54b85243ab850cf53552ae19025bd72b8d40a4d77b33a2c80843d8ac2f62a2
87588bb6faeada0cdddc89c2b2f05f77d94c74208aba0881e5d3f45a15c27546,qwen3_32b,qwen3:32b,task-humaneval_plus-077,professional,0.2,2,20260406,completed,pass_at_1,1.0,222064.90124302218,stop,2272,137,true,4096,False,False,90,8747,00a59b4d317823db890c22fac0ae47336c91ca4a111b2aa00e80111fb19f2d65
1012451d6b54a6348be07540655fb2d80f697449bf38ae04096aa35d47039c54,qwen3_32b,qwen3:32b,task-humaneval_plus-025,minimal,0.2,0,20260404,completed,pass_at_1,1.0,85068.35466896882,stop,911,144,true,4096,False,False,266,3389,1cc6fb3554f0cee6b1181d0d6f1ff4ff08640462be3000a9035ecfffcb0b335e
652ce571f8fa0b025e0d1e53a54fb58543891c71eb145bc6c4b880ce202238c7,qwen3_32b,qwen3:32b,task-humaneval_plus-066,professional,0.2,3,20260407,completed,pass_at_1,1.0,106906.21817397187,stop,1158,161,true,4096,False,False,130,4200,5f7c87d52691fac31e4545f361bdb201efd4876c9e28055a12bc74030e4dcc84
f3f362d5a8662466abfbac7faf5803c596e577a02bddfddf63841febcdc9ba8e,qwen3_32b,qwen3:32b,task-humaneval_plus-059,explicit_reasoning,0.0,2,20260406,completed,pass_at_1,1.0,138666.33719200036,stop,1477,150,true,4096,False,False,529,4448,41c4bd165067fd3bca23c99d63f2989f7011f04aea2ebb68846977842312c57b
18714e8b620c70fadefd9ab0863c40454834f5dc7980bb07c9d89c358163a8c8,qwen3_32b,qwen3:32b,task-humaneval_plus-033,professional,0.2,3,20260407,completed,pass_at_1,1.0,220020.30970097985,stop,2234,306,true,4096,False,False,538,7245,d99b5aafbd77f0ababb2d6ac3cb582ce2dfffc2f9fc945f2af8d5853cef0792d
b37d56e5720710ffdc11a88c9c72926185a700bbc8aa4758d512ff54dd7db9cb,qwen3_32b,qwen3:32b,task-humaneval_plus-140,testing_oriented,0.2,1,20260405,budget_exhausted,pass_at_1,0.0,418250.36685104715,length,4096,163,true,4096,True,True,0,14361,eeba77f9f30a6259553c5db79153dc3ae67fd699062d29427ce7fc34dbf47b98
92c37995dab16683a2d67f107ae7da63409c117120c077ed185d1afc92a46205,qwen3_32b,qwen3:32b,task-humaneval_plus-111,professional,0.2,1,20260405,completed,pass_at_1,1.0,164502.44970800122,stop,1730,143,true,4096,False,False,426,5137,4b3821683227f7f5270aba4a42273207b8e1cfd2dc70a4a21bf9e1c4c6e5dcfd
1ca5a8983e98732aafc78365279fcfdc3d9c503f9b1629296da4490ef7c91068,qwen3_32b,qwen3:32b,task-humaneval_plus-049,testing_oriented,0.0,1,20260405,completed,pass_at_1,1.0,395173.917505017,stop,3809,264,true,4096,False,False,453,14056,9aaa1175decb4e4ed84a34791182ffd794c9063e9c8546aacf59a5dd96d48b2c
4e3144e0e31913f1f8c83306b5b1477b1b2211457992916583b51d544bf02b63,qwen3_32b,qwen3:32b,task-humaneval_plus-007,minimal,0.2,1,20260405,budget_exhausted,pass_at_1,0.0,416873.0105679715,length,4096,192,true,4096,True,True,0,13195,57989fcd0a8fc30f080d29b619f684f2f7eeb8267910692c9af6699b4af0d45b
4c4924c20d022b44def890a9a1e6d21c5df0f1144e939cf3d92b9504bd88c003,qwen3_32b,qwen3:32b,task-humaneval_plus-085,minimal,0.0,0,20260404,completed,pass_at_1,1.0,63640.539170999546,stop,622,90,true,4096,False,False,219,2354,4714e202c393e4f34f7f2ae0743fa698a66facd44a3de897a90ac8f8c60225bd
5b6912fcd0e51b0ccfaec61c5fa07f3a7ac25865587fd6f9b76ac52e6972ebe5,qwen3_32b,qwen3:32b,task-humaneval_plus-116,explicit_reasoning,0.0,0,20260404,completed,pass_at_1,1.0,120582.40393298911,stop,1315,115,true,4096,False,False,266,3564,cb14a75c8985daace3a69d998f9ae03e3cb0a04a727baec793a4322b72bcef18
e18a6d42edbf093abe31add907c83c906458bdeda47aba3432c1378bcf125fe4,qwen3_32b,qwen3:32b,task-humaneval_plus-015,explicit_reasoning,0.2,0,20260404,completed,pass_at_1,1.0,209134.41308797337,stop,2192,257,true,4096,False,False,224,7446,cc99528d7afb3c1f24e6eb1a2196d0b47757dea58f0103d0b1191a4a955ef7d1
11ddcaf2fb4b5b8b49999cdebfaa16892ec460e2280a4cb8d7a2715eefc3058c,qwen3_32b,qwen3:32b,task-humaneval_plus-148,testing_oriented,0.2,2,20260406,completed,pass_at_1,1.0,95492.53076000605,stop,1048,197,true,4096,False,False,103,3389,839a110aaf40b01b2ed623a9ca8f461a128bbabb8e481320713eebcac0494eb0
4f9c22ea4aeb4a2b7c0957c80b58093ee8bf4673cbc1732d260c6add17f6ba2e,qwen3_32b,qwen3:32b,task-humaneval_plus-098,minimal,0.0,4,20260408,budget_exhausted,pass_at_1,0.0,407396.59120398574,length,4096,141,true,4096,True,True,0,14891,6b89a05a04ea5a2bb0b7d4e2e2be1303500c5f87a86a57d23a0106fbeb38718a
9d7930312578d1020d14888dd455dc015fdb4b721c9c5b38693e3fb555517c87,qwen3_32b,qwen3:32b,task-humaneval_plus-151,professional,0.0,4,20260408,completed,pass_at_1,1.0,197341.01114800433,stop,2092,311,true,4096,False,False,280,6889,70ff5f6159d3072c57d38985956270ea14beb1f9217b0890ccbc60f7b7404421
68fc1defd32720438cb4b379179b82520fbf7a08d153394cf58fcc7c7e571cf4,qwen3_32b,qwen3:32b,task-humaneval_plus-034,minimal,0.2,1,20260405,completed,pass_at_1,1.0,232225.06682999665,stop,2449,164,true,4096,False,False,297,8371,e5e041eab060692c33165fdc9e4effa633a117a22889840b4b54fc44391adde9
2b39c78478fbc71f9dd327f3360c1bf067abcd4d78039b1193bd1b7ba5f82885,qwen3_32b,qwen3:32b,task-humaneval_plus-046,minimal,0.0,3,20260407,completed,pass_at_1,1.0,124537.50203800155,stop,1335,139,true,4096,False,False,199,3911,96fe04c2e5fca91db55c4d0bcf8d6cfd193820dcbebf4552b81435807d33b0df
5f6a4bf2dc204e93cdba74d466e03d3e355b4cc202a3d4cb6df2b930be9e8fa1,qwen3_32b,qwen3:32b,task-humaneval_plus-042,testing_oriented,0.2,2,20260406,completed,pass_at_1,1.0,84480.80585896969,stop,908,153,true,4096,False,False,173,3045,7dcaf3ee73245f1bfb1be72df4925b573a4ff8fa6e8d50f7d0c0309cfc814e68
b30e9e154303dde60bafcc0e203126e9d2321e66dcdaa8c3c10808c81b013499,qwen3_32b,qwen3:32b,task-humaneval_plus-121,explicit_reasoning,0.2,2,20260406,completed,pass_at_1,1.0,152732.43549501058,stop,1649,172,true,4096,False,False,507,5896,2c50fcfb234dfe8f6997975289cb95e0376b6b21b93e683606ca9ec354d46a57
2289b3e8c4889d8a592150395db7a92701f2840d4da2da3eb17a294c94b6b36f,qwen3_32b,qwen3:32b,task-humaneval_plus-144,minimal,0.2,2,20260406,completed,pass_at_1,1.0,179118.40155301616,stop,1941,163,true,4096,False,False,178,5983,181ef65430583269047ffa8da83831f0c8decc84007fa58546cef367110a9078
25721577c1635b190a0187616761c18cf9816fdb79985f094a9003447011d05d,qwen3_32b,qwen3:32b,task-humaneval_plus-164,minimal,0.2,3,20260407,budget_exhausted,pass_at_1,0.0,402523.19167996757,length,4096,206,true,4096,True,True,0,13803,c197b1319e12c7c229c7c3ff721856495c03567b4ba9769d9b1552250e4bfefe
907cf250fa13b096a74a591724f0f344f5f49915f3f71c4187be974df37ea37e,qwen3_32b,qwen3:32b,task-humaneval_plus-111,minimal,0.0,3,20260407,completed,pass_at_1,0.0,197608.7943429593,stop,2129,133,true,4096,False,False,209,5643,86e94c10114ce4183c77683d4f86cb7fd502ebe740012afb283dc37275c66815
cb61433c4b03e6240b3c8ddd524764da1a814a0b292b0b8383a6dfa5a267a957,qwen3_32b,qwen3:32b,task-humaneval_plus-123,professional,0.0,3,20260407,completed,pass_at_1,1.0,105414.65748997871,stop,1133,141,true,4096,False,False,255,4367,971ef52f761283eeca4a875567cf69fabd05d8eb74f992a9d5887b3d0f571bff
b9b8517625134d7296ab0f719b2bccdaccbde24b209634cf79db1b0b2650732f,qwen3_32b,qwen3:32b,task-humaneval_plus-156,explicit_reasoning,0.0,1,20260405,budget_exhausted,pass_at_1,0.0,417086.7527619703,length,4096,167,true,4096,True,True,0,16269,62ca72cae93457f5f9ec756164afcef262b432fdbc5685936336e5e9b6be91cf
21844853fbddc6263daaf58cb65623ed5e818f9df4038c71ee1a5448b3840c65,qwen3_32b,qwen3:32b,task-humaneval_plus-023,testing_oriented,0.2,1,20260405,budget_exhausted,pass_at_1,0.0,422551.5931759728,length,4096,199,true,4096,True,True,0,14230,5cced477ea6fded356df63a03d0291d9b791330e3bfadccd9aaf1d2403962896
51cb7c901f74fc250564370a0fb06cca5220e3c34e0b872afc3bce03d3baee3c,qwen3_32b,qwen3:32b,task-humaneval_plus-084,professional,0.2,1,20260405,completed,pass_at_1,1.0,135835.20781097468,stop,1437,136,true,4096,False,False,298,5534,c4ea91b9142461236f1148f5afcb601f9d8d2696df47c4bde8047a6e3ddc4981
45fb41a2cad3ddef81895704af74f9bc7fd9ac2f63a006fc1e12ef7960f39d58,qwen3_32b,qwen3:32b,task-humaneval_plus-037,professional,0.0,1,20260405,budget_exhausted,pass_at_1,0.0,419670.88188498747,length,4096,287,true,4096,True,True,0,12358,b599b9cc34496436746834358bfb157e391e076cef99f6ed9fc7afbe197449e0
9645a7f399b75f2f6b50d222ca00eabdfcf6944d7c6ab23185086983c9a33ceb,qwen3_32b,qwen3:32b,task-humaneval_plus-041,explicit_reasoning,0.2,3,20260407,budget_exhausted,pass_at_1,0.0,419325.4998890334,length,4096,197,true,4096,True,True,0,15814,26d5910e491cc9bd1e5f0af9fb4762da09b5af5c0c90000855b5dc178eb6e3b4
15548b308c984ce8642efa9c3e181a9a3386ce04f41ce99861318de15676870d,qwen3_32b,qwen3:32b,task-humaneval_plus-008,testing_oriented,0.2,3,20260407,completed,pass_at_1,1.0,175473.81038300227,stop,1837,165,true,4096,False,False,187,6136,2d5fe5b2a864d1623739bf14910a9a7ceb86f392a30152ba1cced6e04d17adf8
5e8704b3b8fc8563dc93cc00bcef3d4ec71c1e45c59a65a7caeecc9e7c487d3a,qwen3_32b,qwen3:32b,task-humaneval_plus-049,minimal,0.0,0,20260404,completed,pass_at_1,1.0,281006.8039370235,stop,2793,256,true,4096,False,False,413,10053,9008791879188de46b43747a055ff09e028b4707eb230092715e57db12637cdd
fdf61967ae1a83bb38ad5915628751e0875ee4d4837274255e207fbb0b12141f,qwen3_32b,qwen3:32b,task-humaneval_plus-158,minimal,0.0,0,20260404,budget_exhausted,pass_at_1,0.0,429488.0764330155,length,4096,151,true,4096,True,True,0,15994,3c3da9b15efbbfdc756c002f28c0a360c64e19d11beffcfd2711d12f4ef01819
